url,subject,description,owner_id,owner_name,reviewer_id,reviewer_name,combined_text,processed_text,cluster
https://review.opendev.org/794283,Enable etcd with security setting.,"Enable etcd with security setting. Add etcd client/server certificate generation process in ansible playbook and restart etcd after etcd security config enabled. Test status. 1) Deployment test on both simplex and duplex - PASS check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 2) Switch active controller - PASS After switching, check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 3) Lock/unlock of a simplex controller - PASS 4) Backup/Restore test on simplex - PASS 5) Spontaneous reboot of a simplex controller - PASS 6) Enable secured etcd on simplex by script after deploy unsecured etcd. - PASS 7) Backup test on Duplex - PASS 8) Restore test on Duplex - PASS 9) Re-installing a controller host on a duplex setup and then swacting to it - PASS Partial-Bug: 1894870 Depends-on: https://review.opendev.org/#/c/760508/ Change-Id: I88691b84c9acc2e27f0b783d7454a873d3490072 Signed-off-by: Zhipeng Liu <zhipengs.liu@intel.com>",24,Chuck Short,[28570],['zhipeng liu'],"Enable etcd with security setting. Enable etcd with security setting. Add etcd client/server certificate generation process in ansible playbook and restart etcd after etcd security config enabled. Test status. 1) Deployment test on both simplex and duplex - PASS check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 2) Switch active controller - PASS After switching, check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 3) Lock/unlock of a simplex controller - PASS 4) Backup/Restore test on simplex - PASS 5) Spontaneous reboot of a simplex controller - PASS 6) Enable secured etcd on simplex by script after deploy unsecured etcd. - PASS 7) Backup test on Duplex - PASS 8) Restore test on Duplex - PASS 9) Re-installing a controller host on a duplex setup and then swacting to it - PASS Partial-Bug: 1894870 Depends-on: https://review.opendev.org/#/c/760508/ Change-Id: I88691b84c9acc2e27f0b783d7454a873d3490072 Signed-off-by: Zhipeng Liu <zhipengs.liu@intel.com>",enable etcd security setting enable etcd security setting add etcd client server certificate generation process ansible playbook restart etcd etcd security config enable test status deployment test simplex duplex pass check communication status apiserver etcd kubectl command check etcd status configuration controller switch active controller pass switching check communication status apiserver etcd kubectl command check etcd status configuration controller lock unlock simplex controller pass backup restore test simplex pass spontaneous reboot simplex controller pass enable secure etcd simplex script deploy unsecured etcd pass backup test duplex pass restore test duplex pass instal controller host duplex setup swacte pass partial bug depend change id sign zhipeng liu,0
https://review.opendev.org/789403,Add new Debian security mirror suite pattern,"Add new Debian security mirror suite pattern Starting with Debian 11 (bullseye), security packages are in bullseye-security as opposed to older releases like buster/updates. List the last several stable releases in hopes nobody is trying to use this role to configure platforms older than Debian 8 (jessie, the current ""oldoldstable""). A followup change demonstrates this works in the test-base-roles job, but because the job matrices have to be updated in one fell swoop, and many of those jobs won't work without this change already merged (due to protected use in our base job), it's not tested directly within this change. Change-Id: Ib07269382ce379afc13f1702709a548ad829e663",5263,Jeremy Stanley,[],[],"Add new Debian security mirror suite pattern Add new Debian security mirror suite pattern Starting with Debian 11 (bullseye), security packages are in bullseye-security as opposed to older releases like buster/updates. List the last several stable releases in hopes nobody is trying to use this role to configure platforms older than Debian 8 (jessie, the current ""oldoldstable""). A followup change demonstrates this works in the test-base-roles job, but because the job matrices have to be updated in one fell swoop, and many of those jobs won't work without this change already merged (due to protected use in our base job), it's not tested directly within this change. Change-Id: Ib07269382ce379afc13f1702709a548ad829e663",add new debian security mirror suite pattern add new debian security mirror suite pattern start debian bullseye security package bullseye security oppose old release like buster update list stable release hope try use role configure platform old debian jessie current oldoldstable followup change demonstrate work test base role job job matrix update fell swoop job will work change merge protect use base job test directly change change id,0
https://review.opendev.org/741345,Fix rule replacement in security policy,Fix rule replacement in security policy Change-Id: I65918a003833dea45897d360ab7c3ce60616ec4c,24247,Anna Khmelnitsky,[],[],Fix rule replacement in security policy Fix rule replacement in security policy Change-Id: I65918a003833dea45897d360ab7c3ce60616ec4c,fix rule replacement security policy fix rule replacement security policy change id,4
https://review.opendev.org/637381,OvS: Add pod security context to pods,OvS: Add pod security context to pods This PS adds the pod security context snippet to pods Change-Id: I91e89d7798f6e850e47901551c5dc7cf9d80c97f Signed-off-by: Pete Birley <pete@port.direct>,23928,Pete Birley,[22348],['Zuul'],OvS: Add pod security context to pods OvS: Add pod security context to pods This PS adds the pod security context snippet to pods Change-Id: I91e89d7798f6e850e47901551c5dc7cf9d80c97f Signed-off-by: Pete Birley <pete@port.direct>,ovs add pod security context pod ovs add pod security context pod ps add pod security context snippet pod change id sign pete birley,2
https://review.opendev.org/615355,Horizon: update east-west network security policy,Horizon: update east-west network security policy This patch set updates the ingress network security policy for the Horizon service. Change-Id: I0a580b5e4e14678f6abc14b58d8de5d3d6172c44,17119,Dmitrii Kabanov,"[20466, 20469, 22348, 22636]","['Tin Lam', 'Tin Lam', 'Zuul', 'Cliff Parsons']",Horizon: update east-west network security policy Horizon: update east-west network security policy This patch set updates the ingress network security policy for the Horizon service. Change-Id: I0a580b5e4e14678f6abc14b58d8de5d3d6172c44,horizon update east west network security policy horizon update east west network security policy patch set update ingress network security policy horizon service change id,0
https://review.opendev.org/738928,Add missing security context to Keystone pods/containers,Implement helm-toolkit snippet to Keystone pods/containers This updates the Keystone chart to include the pod security context on the pod template. This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I334ef187a3dcaa082a5c3a7af63de4386dfbdf04,29144,PRATEEK REDDY DODDA,"[7769, 8863, 8898, 12281, 20466, 21420, 22348, 22477, 23928, 29144, 30777]","['Pentheus', 'Andrii Ostapenko', 'Chris Wedgwood', 'Itxaka', 'Tin Lam', 'Gage Hugo', 'Zuul', 'Matt McEuen', 'Pete Birley', 'PRATEEK REDDY DODDA', 'Steven Fitzpatrick']",Add missing security context to Keystone pods/containers Implement helm-toolkit snippet to Keystone pods/containers This updates the Keystone chart to include the pod security context on the pod template. This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I334ef187a3dcaa082a5c3a7af63de4386dfbdf04,add miss security context keystone pod container implement helm toolkit snippet keystone pod container update keystone chart include pod security context pod template add container security context set readonlyrootfilesystem flag true change id,2
https://review.opendev.org/739862,Add missing security context to Mini-mirror test pods/containers,Add missing security context to Mini-mirror test pods/containers This updates the mini-mirror chart to include the pod security context on the pod template. This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I5a48b73a6a4530342bacead941128fdec7cc9c42,29144,PRATEEK REDDY DODDA,"[22348, 28372, 29144]","['Zuul', 'chinasubbareddy mallavarapu', 'PRATEEK REDDY DODDA']",Add missing security context to Mini-mirror test pods/containers Add missing security context to Mini-mirror test pods/containers This updates the mini-mirror chart to include the pod security context on the pod template. This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I5a48b73a6a4530342bacead941128fdec7cc9c42,add miss security context mini mirror test pod container add miss security context mini mirror test pod container update mini mirror chart include pod security context pod template add container security context set readonlyrootfilesystem flag true change id,2
https://review.opendev.org/200847,Enable setting default rules for default security group,"Enable setting default rules for default security group In the current implementation, the default security group only contains the rule that allow intercommunication between vms in a same security-group. However, customers could be confused about that their vms can't use ssh or rdp to login, or can't provide HTTP/HTTPS service to outside since the security group is disabled to these ports by default. To resolve this, we need to allow cloud administrators to set rules of default security group. Blueprint: default-rules-for-default-security-group DocImpact Change-Id: I2610b23c2bd6d2ba5ef9c4800b7e0615b47c46e6",9911,Wei Wang,"[3, 105, 748, 841, 1561, 6788, 7448, 7787, 7805, 8788, 8976, 9656, 9911, 9970, 10980, 11682, 13997, 16707, 17096, 17106]","['Jenkins', 'Kyle Mestery', 'Armando Migliaccio', 'Akihiro Motoki', 'Russell Bryant', 'Rossella Sblendido', 'Carl Baldwin', 'Kevin Benton', 'Li Ma', 'Miguel Angel Ajo', 'shihanzhang', 'Ihar Hrachyshka', 'Wei Wang', 'John Kasperski', 'Doug Wiegley', 'Ryan Moats', 'SHIGEMATSU Mitsuhiro', 'Mohankumar', 'Aditi Rajagopal', 'IanSun']","Enable setting default rules for default security group Enable setting default rules for default security group In the current implementation, the default security group only contains the rule that allow intercommunication between vms in a same security-group. However, customers could be confused about that their vms can't use ssh or rdp to login, or can't provide HTTP/HTTPS service to outside since the security group is disabled to these ports by default. To resolve this, we need to allow cloud administrators to set rules of default security group. Blueprint: default-rules-for-default-security-group DocImpact Change-Id: I2610b23c2bd6d2ba5ef9c4800b7e0615b47c46e6",enable set default rule default security group enable set default rule default security group current implementation default security group contain rule allow intercommunication vms security group customer confuse vms use ssh rdp login provide http https service outside security group disabled port default resolve need allow cloud administrator set rule default security group blueprint default rule default security group docimpact change id,4
https://review.opendev.org/242208,Testing.rst misses a step for adding security rule,Testing.rst misses a step for adding security rule Change-Id: Id748be47a85abd4da75e63964edfbd076a2c8ac0 Closes-Bug: #1513553,18465,shravya Gaddam,[],[],Testing.rst misses a step for adding security rule Testing.rst misses a step for adding security rule Change-Id: Id748be47a85abd4da75e63964edfbd076a2c8ac0 Closes-Bug: #1513553,miss step add security rule miss step add security rule change id close bug,4
https://review.opendev.org/223839,Test security groups.,Test security groups. Install ovs kernel module from source and turn on the sec group tests. Change-Id: I94149e73c5b1339f3b77acff2b74a377daa6f9e0,1561,Russell Bryant,"[3, 1561]","['Jenkins', 'Russell Bryant']",Test security groups. Test security groups. Install ovs kernel module from source and turn on the sec group tests. Change-Id: I94149e73c5b1339f3b77acff2b74a377daa6f9e0,test security group test security group install ovs kernel module source turn sec group test change id,1
